brand_EN,brand_CH,product,score
Estee Lauder,雅詩蘭黛,輕柔磨砂凝膠 So Polished Gentle Exfoliating Scrub,4.2
Punky,,臉部去角質 Q蒟蒻,4.1
Cosme Decorte,黛珂,AQ角質調理精華露N,4.1
,10.0.6淨透方程式,深層潔淨毛孔調理化粧水(原創配方) So Totally Clean Deep Pore Cleanser (Original Formula),4.1
UGBang,,去角質精華液 Peeing Gel,4.1
miss SHARK,小白鯊,平衡去角質凝膠 Exfoliation Gel,4.1
L'OCCITANE,歐舒丹,煥白拋光角質霜 Brightening Smoothing Exfoliator,4.1
Yes To Carrots,,柔潤去角質潔面霜 Gentle Exfoliating Facial Cleanser,4.1
tsaio,上山採藥,熊果素美白去角質凝膠 Arbutin Whitening Peeling Gel,4.1
tsaio,上山採藥,櫻桃凝C去角質霜 Acerola C Peeling Gel,4.1
Aesop,,茶樹去角質粉,4.1
Sonia Rykiel,,水晶光顏去角質,4.1
ARWIN,雅聞,冰淇淋磨砂潔顏霜,4.1
CHIC CHOC,奇可俏可,透明角質液,4.1
YSL,聖羅蘭,名模肌密去角質凝膠,4.0
SABON,,茉莉花語極潤磨砂膏 Butter Scrub,4.0
Angel Key,,神仙教母唇部修護霜(魔法再現版),4.0
,我的心機,櫻花亮白去角質凝膠,4.0
Nature&Co,,純淨角質淨透調理露,4.0
AWAKE,,角質淨透煥膚美容液 EXFOLIZER CLARIFYING SERUM,4.0
Kanebo,佳麗寶-專櫃,潤白角質液N,4.0
Bio-essence,碧歐斯,零黑頭淨,4.0
Benefit,,亮女喚采 去角質霜,4.0
ROSETTE,露姬婷,HELLO KITTY臉部溫和去角質凝膠,4.0
GUERLAIN,嬌蘭,純晶荷花清潔SPA去角質凝膠 Secret de Purete Gentle Polishing Exfoliator,4.0
MOMUS,,微晶拋光角質磨砂膏 (臉部專用) Micro-Derma Renewal Cream,4.0
Lab Series,雅男士,活力煥顏去角質霜 LAB SERIES SKIN REFINISHER,4.0
L'OCCITANE,歐舒丹,乳油木勻亮角質面膜 Gentle Face Buff,4.0
kuanyuanlian,廣源良,蘆薈去角質按摩霜,4.0
,~H2O+水貝爾,控油磨砂凝膠 Oil-controlling exfoliator,4.0
GUERLAIN,嬌蘭,果酸磨砂凝露,4.0
CONI,康倪,極萃黑淨透角質膠,3.9
ABOUT ME,,檸檬淨化角質精華墊,3.9
AHAVA,愛海珍泥,死海礦泥角質更新乳 Facial Mud Exfoliator,3.9
Morgan`s,,皇家薔薇泥狀角質美白霜  Royal Rose Trio Exfoliate Whitening Clay,3.9
MUJI,無印良品,男性去角質洗顏乳 Scrub Face Soap for Oily Skin,3.9
DHC,,去角質亮膚棉 DHC for MEN Face Peel Pad,3.9
L'OCCITANE,歐舒丹,活膚煥白角質面膜,3.9
KENZO,,去角質潤唇膏 sweet and smooth lip duo,3.9
KENZO,,去角質雪晶 invigorating exfoloating flakes,3.9
Biotherm,碧兒泉,淨膚清脂去角質霜 Pore refining exfoliating gel,3.9
ettusais,艾杜紗,零毛孔去角質紙巾,3.8
philosophy,,微導煥膚瞬亮去角質棉,3.8
Dior,迪奧,柔膚去角質霜 Instant Gentle Exfoliant Face,3.8
Simply,,超溫和亮采去角質凝膠,3.8
innisfree,,紅酒去角質果凍磨砂 Wine Peeling Jelly Scrub,3.9
Modellook,,鑽石瞬白淨化去角質柔珠凝膠,3.9
L'OCCITANE,歐舒丹,煥白淨透去角質霜 Brightening Instant Exfoliator,3.9
Pretty Yard,瑞士山城,海藻磨砂皂,3.9
CLARINS,克蘭詩,男士植物磨砂潔顏霜 Exfoliating Cleanser,3.9
FAM FIAIR,汎妃爾,涵氧柔嫩角質乳,3.9
,10.0.6淨透方程式,毛孔淨化去角質調理洗面露 ONE SMOOTH OPERATOR PORE CLEARING FACE SCRUB,3.9
CONI,康倪,黃金緩釋囊球去角質凝膠 Gold Foil Liposome Exfoliating Gel,3.9
Beauty Diy,,青柚子淨透去角質凝凍 Green Clay Pore Refining Cleanser,3.9
LUSH,,地獄天使潔面膏,3.9
Sofnon,詩芙儂,薏白生長水晶去角質霜,3.8
THE FACE SHOP,菲詩小舖,美妍經典－珍珠角質乳 PEELING DAY - WHITE JEWEL,3.8
irra,伊芮,A3去角質凝膠,3.8
innisfree,,濟州島火山泥黑頭溶解膏 Jeju volcanic blackhead out balm,3.7
ETUDE HOUSE,,莓好時光唇部柔滑去角質果醬,3.7
Soley Organics,冰島有機天然保養品,薄荷植萃去角質霜  Purifying exfoliator with peppermint and wild Icelandic herbs,3.7
coni beauty,康倪生醫,奇異果去角質凝膠,3.7
shutekijoshi,酒滴女子,去角質凝膠,3.7
NUXE,黎可詩,玫瑰柔膚去角質凝膠                                             GENTLE EXFOLIATING GEL,3.7
TIMARU,堤瑪露,柔膚亮采臉部去角質凝膠,3.7
xantia,桑緹亞,亮白去角質凝膠 Radiant Whitening Exfoliating Gel,3.7
Queen Helene,海倫皇后,Oatmeal 'n Honey Natural Facial Scrub,3.7
Biotherm Homme,碧兒泉男仕,礦泉溫和型去角質霜 FACIAL EXFOLIATOR,3.7
AVEDA,肯夢,溫和去角質液 Botanical KineticsTM Exfoliant,3.7
laura mercier,蘿拉蜜思,角質調理霜 Face Polish,3.7
ETUDE HOUSE,,早點樂子～朝氣美顏去角質按摩泡泡(清透米粒),3.6
PURE BEAUTY,,紅石榴活顏新肌去角質凝膠,3.6
CUM NATURA,康蜜萃,BIO有機蜂蜜去角質霜,3.6
,38G+,木瓜潔顏酵素晶體,3.6
ISA KNOX,伊莎諾絲,紫水晶角質煥膚霜,3.6
THRONE,斯儂恩,去角質凝露,3.6
Omorovicza,,輕柔去角質潔面霜 Gentle Buffing Cleanser,3.6
THRONE,斯儂恩,綠豆白芷粉 Facial cleansing powder,3.6
,森田藥粧,竹炭臉部去角質霜,3.6
CHIC CHOC,奇可俏可,晶透奇肌角質柔軟水,3.6
BY TERRY,,玫瑰磨砂面膜 Resurfacing Micro-Scrub Mask,3.6
O HUI,歐蕙,淨白角質煥膚霜 Peeling Brightening,3.6
BURT`S BEES,小蜜蜂爺爺,蜜桃柳樹皮深層去角質霜,3.6
The Body Shop,美體小舖,蘆薈舒緩磨砂凝膠 Aloe Vera Facial Gel Polisher,3.6
IPSA,茵芙莎,角質發光液EX1,3.5
Cosme Decorte,黛珂,晶透角質調理露,3.5
CHIC CHOC,奇可俏可,櫻花淨透角質液 CHIC CHOC Sakura Beauty Clear Essence,3.5
THREE品牌活動中,,精萃柔砂膏,3.5
LUSH,,爆米花時光潔面膏,3.5
ETUDE HOUSE,,早點樂子～朝氣美顏去角質按摩泡泡(亮澤珍珠),3.5
ETUDE HOUSE,,水足感膠原去角質潔淨乳,3.5
NU derma,新德曼微整概念保養,亮采金球去角質膠 Golden Sphere Renewal Exfoliating Gel,3.5
Sulwhasoo,雪花秀,滋晶瑩白煥顏白蔘磨砂蜜,3.5
belif,,棉花纖維素去角質凝膠 Mild  and effective facial scrub,3.5
Fosho,森林小舖,覆盆子角質膠,3.5
,~H2O+水貝爾,抗痘潔淨棉 Anti-Acne Exfoliating Cleansing Pads,3.5
BeautyEasy,,茶樹毛孔超淨化角質調理膠 Tea Tree Pure Pore Facial Exfoliator EX,3.5
SANA,莎娜,SALON POREJO 角質凝淨凝膠 SANA SALON DE PORDJO,3.5
SHISEIDO,資生堂-國際櫃,百優煥采光碟 Bio-Performance Super Exfoliating Discs,3.5
SHISEIDO,資生堂-國際櫃,毛孔潔淨溫感凝露,3.5
berji,,海藻去角質凝膠,3.4
NRK essential,,鮮果酵素煥膚精華,3.4
ETUDE HOUSE,,早點樂子～朝氣美顏去角質按摩霜(彈力大豆),3.4
Paula`s Choice,寶拉珍選,淨無痘加強版去角質液 CLEAR Extra Strength Exfoliant for Acne,3.4
Dior,迪奧,雪晶靈冰透白去角質化妝水 White Reveal Wipe-Off Gel,3.4
Estee Lauder,雅詩蘭黛,特潤眼部超級精華,6.0
SK-II品牌活動中,,R.N.A.超肌能緊緻大眼霜,6.0
SK-II品牌活動中,,肌源新生賦活眼霜,6.0
DHC,,睫毛修護液 Eyelash Tonic,6.0
SHISEIDO,資生堂-國際櫃,紅妍肌活潤眼修護露  Ultimune Power Infusing Eye Concentrate,5.9
LANCOME,蘭蔻,超進化肌因亮眼精粹,5.9
Estee Lauder,雅詩蘭黛,特潤超導眼部修護霜,5.9
Soo Rye Han,秀麗韓,酵 飛燕御藏眼霜 Hyo Fermented Eye Cream,5.9
L`OREAL PARiS,巴黎萊雅,玻尿酸抗皺微導眼霜,5.8
DR.WU,達爾膚醫美保養系列,玻尿酸保濕修復眼霜 ADVANCED HYDRATING EYE CREAM WITH HYALURONIC ACID,5.8
Whoo,后,天氣丹華炫重生眼霜,5.8
envie de neuf,茵蝶,六胜肽緊緻無痕亮眼膜 Bio-peptide++ dramatic correction eye pad,5.8
SHISEIDO,資生堂-東京櫃,除皺精華眼膜AA REVITAL WRINKLELIFT RETINO SCIENCE AA,5.8
Mad Hippie,,13種活萃白毫銀針五胜肽極效眼周精華,5.7
QV,,QV FACE舒敏紅花籽油賦活眼部精華霜 QV Face Revitalising Eye Cream,5.7
Dior,迪奧,逆時完美再造亮眼精華,5.7
DHC,,高機能睫毛修護液 Extra Beauty Eyelash Tonic,5.7
DR.WU,達爾膚醫美保養系列,全能賦活抗皺眼霜 ADVANCED ANTI-WRINKLE EYE CREAM WITH BOTOLIFT,5.7
L`OREAL PARiS,巴黎萊雅,激光煥膚按摩眼霜,5.7
L`OREAL PARiS,巴黎萊雅,賦活新生睫毛生長液(升級版),5.7
ROHTO,日本樂敦,樂敦洗眼液,5.7
Whoo,后,還幼眼霜,5.7
Aesop,,香芹籽抗氧化眼部精華,5.7
Chantecaille,香緹卡,鑽石級眼霜 Stress Repair Concentrate,5.7
KIEHL`S,契爾氏,酪梨眼霜 Creamy Eye Treatment with Avocado,5.7
L`OREAL PARiS,巴黎萊雅,青春密碼眼部酵素肌底調理精萃,5.6
Estee Lauder,雅詩蘭黛,Nrf2 超智慧眼霜,5.6
LANCOME,蘭蔻,肌因亮眼賦活精粹,5.6
KIEHL`S,契爾氏,深夜奇肌修護眼霜 Midnight Recovery Eye,5.6
GUERLAIN,嬌蘭,皇家蜂王乳拉提眼霜,5.6
BOBBI BROWN,芭比波朗,晶鑽桂馥彈力滋潤眼霜 Extra Eye Repair Cream,5.6
Aesop,,香芹籽抗氧化眼霜 Parsley Seed Anti-Oxidant Eye Cream,5.6
,自然之名,雪玫瑰植粹保濕眼霜,5.5
L`OREAL PARiS,巴黎萊雅,活力緊緻抗皺緊實眼霜,5.5
Estee Lauder,雅詩蘭黛,特潤超導眼部修護精萃,5.5
WSPA,英爵醫美,極緻潤透眼霜 REGENERATING POWER EYE CREAM,5.5
Estee Lauder,雅詩蘭黛,完美聚焦冰鎮亮眼精華棒,5.5
Soo Rye Han,秀麗韓,天蔘桑黃眼霜 Soo Chunsam Sangwang Eye Cream,5.5
KOSE,高絲-專櫃,無限肌緻彈潤拉提眼霜,5.5
envie de neuf,茵蝶,白金驅黑無痕亮眼膜 Platinum Lineless Eye Mask,5.5
Kanebo,佳麗寶-專櫃,精純亮眸眼霜,5.5
OLAY,歐蕾,臻緻全效眼霜,5.4
Avene,雅漾,逆齡緊緻眼霜,5.4
ORBIS,,溫感舒壓美眼精華液,5.4
CLARINS,克蘭詩,抗引力大眼精華,5.4
AVANCE,,長長速效睫毛精華,5.4
L`OREAL PARiS,巴黎萊雅,活力緊緻瞬效撫紋眼霜 REVITALIFT Magic Blur Instant Smoother Anti -Aging Eye Cream,5.4
innisfree,,濟州寒蘭眼霜,5.4
SANOFI,賽諾菲,維詩朵水潤高效抗皺眼凝露,5.4
CLARINS,克蘭詩,煥顏緊緻眼霜 Extra-Firming Eye Cream,5.4
CLINIQUE,倩碧,深層活化奇激光修護眼霜 Repairwear Laser Focus Wrinkle Correcting Eye Cream,5.3
VICHY,薇姿,R激光360 ﾟ全能眼霜 LIFTACTIV EYES Derm Source,5.3
Estee Lauder,雅詩蘭黛,白金級極緻珍璽甦活眼霜,5.3
SOFINA,蘇菲娜,芯美顏彈潤賦活晶,5.3
CHANEL,香奈兒,超完美彈力緊膚眼霜 ULTRA CORRECTION LIFT TOTAL EYE LIFT,5.3
MAVALA,美華麗,睫毛增長滋養液 DOUBLE-LASH,5.3
IPSA,茵芙莎,On The Peak無齡眼部組合 EYE ESTHETICS E,5.3
Seba med,施巴,Q10抗皺煥采眼霜,5.3
Estee Lauder,雅詩蘭黛,白金級全效緊膚眼霜 Re-Nutriv Intensive Lifting Eye Creme,5.3
Estee Lauder,雅詩蘭黛,白金級極緻賦活眼霜 Ultimate Lifting Eye Cream,5.3
DEPAS,,全效修護眼霜,5.4
CLARINS,克蘭詩,超放電大眼精華,5.4
YSL,聖羅蘭,逆齡肌密眼霜 FOREVER YOUTH LIBERATOR EYE CREME,5.4
KOSE,高絲-專櫃,雪肌精眼霜,5.4
shu uemura,植村秀,黑萃緊顏抗皺眼唇霜 Phyto-Black Lift Anti-Wrinkle Eye and Lip Contour Cream,5.4
L`OREAL PARiS,巴黎萊雅,賦活新生睫毛精華液(金緻升級版),5.3
LANEIGE,蘭芝,超時空彈力新生眼部精華,5.3
Elizabeth Arden,伊麗莎白雅頓,無瑕未來360°眼膠,5.3
Freshel,膚蕊,極效保濕精華眼霜,5.3
KIEHL`S,契爾氏,超能量抗痕彈力眼霜 Powerful Wrinkle Reducing Eye Cream,5.3
SHISEIDO,資生堂-國際櫃,百優精純眼霜 Bio-Performance Eye Contour Cream,5.2
AYURA,,[限量] 醒膚亮采眼部陶瓷按摩組 SENSIENCE VITALACTIVE EYEPOT,5.1
GUERLAIN,嬌蘭,皇家蜂王乳黃金超導眼部精華,5.1
innisfree,,綠茶籽潤澤保濕眼霜,5.1
SK-II品牌活動中,,青春亮眼精華乳 Facial Treatment Essence-EYE,5.1
Mdmmd.,明洞國際,AG胜肽蝸牛眼膠,5.1
YSL,聖羅蘭,逆齡肌密眼部精粹 FOREVER YOUTH LIBERATOR EYE SERUM,5.1
NARUKO,牛爾親研,白玉蘭鑽采超緊緻維他命K眼霜EX  Taiwan Magnolia Brightening and Firming Vitamin K Eye Cream EX,5.1
BEVY C.,妝前保養,妝前保濕眼唇精華 Lumiwhite Moist Up Elixir for Eyes & Lips,5.1
L`OREAL PARiS,巴黎萊雅,完美淨白微震按摩亮白眼霜 L’Oreal Paris White Perfect Micro-Vibration 3 in 1 Brightener Eye,5.1
LANEIGE,蘭芝,睡美人睛亮晚安眼膜 Eye Sleeping Mask,5.2
DHC,,美肌再生亮眼魔法棒 Beauty Lift Care Essence Roll-On,5.2
The Body Shop,美體小舖,水嫩淨白雙效亮眼精華冰斗 MW SHISO 2 IN 1 BRIGHTENING EYE CREAM,5.2
Junkisei Prime,潤肌精,高保濕Q10撫紋精華眼霜,5.2
Skin Potion,魔力配方,魔力拉提感應眼膠 Magic Up-Lifting Wrinkle Reducer,5.2
Dior,迪奧,極效賦活眼部精萃 Eyes Essential,5.2
Centella,仙提拉,睫毛精華露,5.2
Dior,迪奧,逆時全效無痕鉑金按摩眼霜 Multi-Perfection Instant Rescue Eye Treatment,5.2
shu uemura,植村秀,睫毛修護凝膠,5.2
SISLEY,希思黎,抗皺活膚眼唇霜,5.2
Neogence,霓淨思,玻尿酸DNA眼部彈力撫紋修護霜 HYALURONIC ACID DNA ANTI-WRINKLE EYE CREAM,5.1
Nature&Co,,純淨活顏緊緻眼霜 Nature&Co Vital Purity Eye Cream,5.1
Whoo,后,天氣丹津率享眼霜,5.1
SHISEIDO,資生堂-國際櫃,時空琉璃御藏櫻花眼唇霜 Eye and Lip Contour Regenerating Cream,5.1
LA MER,海洋拉娜,亮眼活膚精華霜,5.1
CHANEL,香奈兒,活力抗氧化眼霜 BEAUTE INITIALE EYE,5.1
L'OCCITANE,歐舒丹,橄欖節瞬效喚眼凝膠,5.1
CHANEL,香奈兒,山茶花保濕微胜肽眼凝露,5.0
MyChelle,沐萃莉,極效撫紋美眸眼霜 Fabulous Eye Cream,5.0
LANEIGE,蘭芝,水酷肌因保濕亮眼凍 Water Bank Eye Gel,5.0
shu uemura,植村秀,光燦大眼霜 Tsuya Eye Youth Infusing Eye Concentration,5.0
SHISEIDO,資生堂-國際櫃,美透白明眸眼霜,5.0
M.A.C,,柔礦迷光礦物保濕眼霜 MINERALIZE CHARGED WATER MOISTURE EYE CREAM,5.0
ORIGINS,品木宣言,駐顏有樹全效眼部精華 Plantscripto Anti-aging eye treatment,5.0
GIORGIO ARMANI,亞曼尼,黑曜岩活膚能量眼部精華 CREMA NERA Extrema Eye Serum,5.0
SK-II品牌活動中,,煥能全效晶眼霜,5.0
envie de neuf,茵蝶,藍金活酵能量舒壓眼膜 THALASSO-DECOMPRESS Eye Mask,5.0
DHC,,Q10晶妍緊緻眼霜 DHC Q Eye Cream,5.0
L`OREAL PARiS,巴黎萊雅,活力緊緻 雙管全能眼霜 REVITAL LIFT DOUBLE LIFTIING EYE,5.0
OLAY,歐蕾,新生3D彈力眼霜,5.0
ORIGINS,品木宣言,白毫銀針眼部緊緻防護菁露,5.0
The Body Shop,美體小舖,煥顏金萃撫紋緊緻眼部精露,4.9
DR.WU,達爾膚醫美保養系列,VC微導美白眼部精華,4.9
UNT,,頂級棉花凝粹明眸霜,4.9
,23.5°N北緯研製,紅薏仁白潤眼周凝膠,4.9
philosophy,,一日煥白亮采眼霜,4.9
Faith in Face,,哪隻眼睛說我累了？,4.9
Curel,珂潤,潤浸保濕眼部精華 Moisture Eye Zone Essence,4.9
BeautyEasy,,睫毛纖長修護菁華液EX Lash Conditioning Serum EX,4.9
L'OCCITANE,歐舒丹,蠟菊精華眼霜,4.9
Dior,迪奧,逆時XP新生抗痕眼霜 Cr&egrave;me R&eacute;paration Rides Yeux	15ml,5.0
GIORGIO ARMANI,亞曼尼,黑曜岩活膚能量活化眼霜 Obsidian Mineral Reviving Eye Cream,5.0
Dr. Sara,,九杯礦泉水亮激活緊緻眼霜,5.0
,森田藥粧,緊緻細白眼膜,5.0
Junkisei Prime,潤肌精,彈力緊緻眼霜,5.0
swissweda,,絕對活膚精華眼膜 Cellular Hydrating Eye mask,5.0
CLINIQUE,倩碧,水磁場特效保濕眼霜,5.0
la prairie,,魚子美顏眼露,5.0
CLINIQUE,倩碧,全效眼霜 All about eyes,5.0
Elizabeth Arden,伊麗莎白雅頓,時空賦活緊緻眼霜SPF15 Ceramide Plump Perfect Eye Moisture Cream SPF15,5.0
AVANCE,,抗UV保濕修護美睫精華,4.9
PAUL&JOE,,橙花雙效修護眼霜組 EYE TREATMENT DUO,4.9
Neogence,霓淨思,玻尿酸保濕眼霜,4.9
CLINIQUE,倩碧,全效亮眼按摩精華 All About Eyes Serum De-Puffing Eye Massage,4.9
Estee Lauder,雅詩蘭黛,時光肌密青春眼霜 Time Zone Anti-Line/Wrinkle Eye Creme,4.9
GUERLAIN,嬌蘭,極地水合彈力眼部精華 SUPER AQUA-EYE,4.9
DR.WU,達爾膚醫美保養系列,極緻抗皺修復眼霜 ULTIMATE REPAIRING EYE CREAM WITH MULTI-PEPTIDES,4.9
,森田藥粧,Q10活化緊緻亮白眼膜,4.9
LANCOME,蘭蔻,立體緊膚抗皺R.A.R.E.™定位眼部精華 R&Eacute;NERGIE MORPHOLIFT YEUX,4.9
Taiwan Yes,,深海活妍白金精華眼霜 Extreme-p&sup3; Luminance Platinum Eye Cream,4.9
CHANEL,香奈兒,奢華精質眼霜 SUBLIMAGE EYE,4.9
ReVive,麗膚再生,光采再生眼霜 Eye Renewal Cream,4.9
KIEHL`S,契爾氏,海源進化修護眼霜 Abyssine eye cream,4.9
CLINIQUE,倩碧,全新眼部活化修護精華霜 Repairwear Intensive Eye Cream,4.9
CHANEL,香奈兒,超完美修護眼霜,4.9
SHISEIDO,資生堂-東京櫃,怡麗絲爾極奢潤膠原眼霜CB,4.8
Gifu Cosme,肌膚新習慣,雪兔明眸美白保濕眼霜 snow rabbit whitening & moiturizing eye cream,4.8
,專科,保濕專科修護眼霜,4.8
MARY KAY,玫琳凱,眼膜膠,4.8
SHISEIDO,資生堂-國際櫃,百優瞬效新生彈力眼霜 BIO-PERFORMANCE Super Corrective Eye Cream,4.8
DR.WU,達爾膚醫美保養系列,男士瞬效緊緻眼霜,4.8
Dior,迪奧,逆時完美再造眼霜 Multi-Perfection Eye Treatment,4.8
Biotherm,碧兒泉,天然活顏睛采眼霜,4.8
BeautyEasy,,玫瑰超水嫩保濕眼周晚安凍膜,4.8
dejavu,,睫毛纖長修護膜 Lash Serum,4.8
GLYCEL,卡爾詩,燕窩緊緻修護眼部精華,4.8
ORIGINS,品木宣言,人之初彈力再生眼霜,4.8
,森田藥粧,白金EGF活膚抗皺眼膜 Wrinkle Lifting Eye Mask,4.8
UNITEC,彤妍,燕窩素彈力抗皺眼霜(升級版) UNITEC Eye Lifting Anti-wrinkle Cream,4.8
BOBBI BROWN,芭比波朗,高保濕眼霜 Hydrating Eye Cream,4.8
GUERLAIN,嬌蘭,琥珀拉提感應眼霜,4.8
Elizabeth Arden,伊麗莎白雅頓,CLX黃金導航眼部膠囊,4.8
Avene,雅漾,柔白煥膚眼霜,4.8
ORBIS,,彈力亮眼美容液 Eye Care Essence,4.8
CLARINS,克蘭詩,新生多肽眼部精華液 Advanced Extra-Firming Eye Contour Serum,4.8
GUERLAIN,嬌蘭,超時空水合彈力保濕眼部精華,4.8
OLAY,歐蕾,多元修護眼霜 Eye transforming cream,4.8
LA ROCHE-POSAY,理膚寶水,全日保濕修護眼霜,4.8
DHC,,水嫩細緻眼膜 Pack Sheet Eyes,4.8
flowfushi,,THE まつげ美容液,4.7
Estee Lauder,雅詩蘭黛,特潤超導修護安瓶眼膜,4.7
innisfree,,濟州石榴活妍美膚眼霜,4.7
Estee Lauder,雅詩蘭黛,超未來立體緊緻雙效電眼精華,4.7
L`OREAL PARiS,巴黎萊雅,奇蹟美白眼霜 WHITE PERFECT MIRACLE Double Whitening Skin-Transforming Eye Cream,4.7
,+ONE%歐恩伊,黑鑽逆齡抗痕眼霜 Premium PhytoCell Activating Eye Cream,4.7
ERNO LASZLO,奧倫納素,永恆之泉淨白提拉眼膠 Luminous Eye Complex,4.7
TALIKA,塔莉卡,濃捲俏 嫵媚長長睫毛液 Lipocils Expert,4.7
IPSA,茵芙莎,美膚溫感眼部精華,4.7
PURE BEAUTY,,頂級時光修護眼霜,4.7
Elizabeth Arden,伊麗莎白雅頓,8胜肽緊緻眼霜 Ceramide Plump Perfect Ultra Lift and Firm Eye Cream SPF 15,4.7
CHANEL,香奈兒,超完美抗皺修護眼霜 SPF 15 Anti-Wrinkle Eye Cream,4.7
LANCOME,蘭蔻,立體緊膚抗皺RARE定位眼霜 RENERGIE MORPHOLIFT R.A.R.E Eye Cream,4.7
L'OCCITANE,歐舒丹,極緻修護眼部精華,4.7
FOR BELOVED ONE,寵愛之名,高效抗皺保濕眼霜 Active Anti-wrinkles Hydrating Eye Cream,4.7
M.A.C,,專業眼霜 FAST RESPONSE EYE CREAM,4.7
SISLEY,希思黎,保濕眼唇凝露,4.7
Elizabeth Arden,伊麗莎白雅頓,水感24保濕眼霜 Perpetual Moisture 24,4.7
ORIGINS,品木宣言,拋開浮腫鎮靜舒緩眼膜,4.7
Estee Lauder,雅詩蘭黛,明眸修護眼霜 Uncircle,4.7
SHISEIDO,資生堂-東京櫃,怡麗絲爾膠原超抗皺眼唇精華乳V,4.6
philosophy,,深呼吸活氧防護眼霜,4.6
Estee Lauder,雅詩蘭黛,鑽石立體超緊緻眼霜 Resilience Lift Firming/Sculpting Eye Creme,4.6
NARUKO,牛爾親研,蘋果籽傳明酸淡斑撫紋亮眼精華,4.6
Avene,雅漾,抗老無痕眼霜 AV Anti-age eye contour care,4.6
SHISEIDO,資生堂-國際櫃,抗皺24無痕眼霜 BENEFIANCE WrinkleResist24 Intensive Eye Contour Cream,4.6
KOSE,高絲-專櫃,雪肌精極淬晶淬潤白眼霜,4.6
SHISEIDO,資生堂-東京櫃,敏感話題眼唇精華乳 DRY ZONE ESSENCE,4.6
LUDEYA,露蒂雅,白皙晶透生物纖維眼膜,4.6
TALIKA,塔莉卡,豐盈捲曲睫毛增長滋潤液 Lipocils Expert,4.6
Biotherm,碧兒泉,360°活泉亮眼精華筆 AQUASOURCE EYE PERFECTION,4.6
Dior,迪奧,雪晶靈極淨透白按摩眼霜 White Reveal Illuminating Eye Treatment,4.6
ORIGINS,品木宣言,元氣十足亮眼霜 GinZing&#8482 refreshing eye cream,4.6
ETUDE HOUSE,,淡出眼一圈亮眼膜 Goodbye Dark Circle Eye Patch,4.6
StriVectin,皺效奇蹟,SD 皺效眼霜 Eye Cream,4.6
OGUMA,水美媒,玻尿酸清新眼凝露 Hydrating Eye Revitalizer,4.6
MAJIAMI,瑪奇亞米,睫毛濃長精華液,4.6
KOSE,高絲-開架式,玻尿酸護睫精華,4.6
St.Clare,聖克萊爾,全效賦活眼膜  Luxury Eye Mask,4.6
ReVive,麗膚再生,賦活晚安眼膜 Masque des Yeux,4.6
Benefit,,拋拋眼緊緻眼膠,4.6
CLARINS,克蘭詩,艾地苯睫眉再生修護精華,4.5
GUERLAIN,嬌蘭,24小時除皺修護眼霜,4.5
butyshop,,駐顏有樹全效抗老眼霜  Plantscription Anti-Aging Eye Cream,4.5
Sonia Rykiel,,涵萃潤肌精保濕眼霜,4.5
CLINIQUE,倩碧,不凋花眼部無齡緊緻乳 Anti-Fatigue Moisturizing Eye Cream,4.5
Dior,迪奧,ampm熬夜黯沉亮眼精華素,4.5
Whoo,后,魅瀴撫紋無痕修護眼霜,4.5
Deary,媞爾妮,艾地苯高效抗皺活膚眼部精華,4.5
VINATA,,鑽石極緻賦活眼霜 Diamond Extreme Eye,4.5
Junkisei Prime,潤肌精,靚眼撫紋嫩膚霜 LINE SMOOTHING EYE CREAM,4.5
Elizabeth Arden,伊麗莎白雅頓,漂亮眼霜 Super Restorative Total Eye Concentrate,4.6
Jabushe,嘉碧希,緊緻拉提 眼霜 SUCCESS EYE TECH,4.6
ORIGINS,品木宣言,緊緻平皺眼膠  Firmming Eye Contour Gel,4.6
Junkisei Prime,潤肌精,植物防護眼膠 Eye Recovery Gel,4.6
NUXE,黎可詩,水磁場眼部保濕精華 Moisture Surge Eye Gel,4.6
am+pm skincare,,逆時活膚眼霜 Wrinkle Eye Cream,4.6
GBH,,拱辰享雪白亮眼活氧精萃,4.5
Elizabeth Arden,伊麗莎白雅頓,熊貓好朋友眼周膜 Eye Patch,4.5
Natura Bisse,,VINATA緊緻抗皺眼霜,4.5
PALMER`S,帕瑪氏,修護眼霜,4.5
LANCOME,蘭蔻,肌因賦活眼霜 G&Eacute;NIFIQUE youth activating eye concentrate,4.5
Dior,迪奧,水彈力保濕眼凝霜 Hydra Life Eye Cr&egraveme,4.5
GARNIeR,卡尼爾,晶亮拋拋熊貓眼擊退筆,4.5
Eleer,伊麗爾天山,伊麗爾天山眼霜 Eye Cream,4.5
Whoo,后,氣津修護眼霜 QI & JIN EYE REPAIR,4.5
L`OREAL PARiS,巴黎萊雅,新肌源創 眼霜 Derma Genesis Eye Contour Cream,4.5
Biotherm,碧兒泉,柔晶元素喚膚眼霜 Anti-Rides Line Peel Yeux,4.5
Boots,博姿,草本淨白保濕眼霜,4.5
KAWAE,俏佳人,彈力Q10蠶絲眼膜,4.5
OLAY,歐蕾,瑩采精華眼霜,4.5
OLAY,歐蕾,眼部保濕精華露,4.5
kuanyuanlian,廣源良,小黃瓜眼部細緻水凝膠,4.5
IPSA,茵芙莎,亮眼全效精華液,4.5
DHC,,明眼凝膠 Eye Bright,4.5
Dior,迪奧,活顏再生眼霜 Revitalizing Eye Cream,4.5
